Time (sec),RPM,Air Temp (C),Coolant Temp (C),TPS (%),MAP (kPa),Battery Volt (V),Fuel Open Time (ms),Starting Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Coolant Temp Compensation - Fuel (%),Ignition Angle (DBTDC),Digital Input #1,Digital Input #2,Digital Input #3,Digital Input #4,Digital Input #5,Digital Input #6,Digital Input #7,Digital Input #8,OIL PRES,OIL TEMP (C),Digital Output #1,Digital Output #2,Digital Output #3,Digital Output #4,Digital Output #5,Digital Output #6,Digital Output #7,Digital Output #8,Digital Output #9,Digital Output #10,System Temperature (C),Measured Lambda #1,
13.300,2863,38.0,58.0,2.0,81.01,13.50,4.35,105.0,100.0,110.0,19.1,0,0,0,0,0,0,0,0,38.67,47.0,1,0,1,0,0,0,0,0,0,0,30,0.83,
13.350,2836,38.0,58.0,2.1,82.46,13.50,4.41,105.0,100.0,110.0,19.0,0,0,0,0,0,0,0,0,38.20,47.0,1,0,1,0,0,0,0,0,0,0,30,0.83,
13.400,2811,38.0,58.0,2.1,82.87,13.40,4.42,104.9,100.0,110.0,18.9,0,0,0,0,0,0,0,0,37.20,47.0,1,0,1,0,0,0,0,0,0,0,30,0.83,
13.450,2857,38.0,58.0,2.1,83.63,13.40,4.42,104.9,100.0,110.0,19.1,0,0,0,0,0,0,0,0,37.98,47.0,1,0,1,0,0,0,0,0,0,0,30,0.80,
13.500,2942,38.0,58.0,2.1,83.63,13.50,4.42,104.8,100.0,110.0,19.2,0,0,0,0,0,0,0,0,38.38,47.0,1,0,1,0,0,0,0,0,0,0,30,0.77,
13.550,2937,38.0,58.0,2.1,84.18,13.50,4.44,104.8,100.0,110.0,19.2,0,0,0,0,0,0,0,0,39.47,47.0,1,0,1,0,0,0,0,0,0,0,30,0.77,
13.601,2791,38.0,58.0,2.2,84.25,13.50,4.44,104.7,100.0,110.0,18.9,0,0,0,0,0,0,0,0,37.63,47.0,1,0,1,0,0,0,0,0,0,0,30,0.78,
13.650,2844,38.0,58.0,2.2,84.94,13.50,4.47,104.7,100.0,110.0,19.0,0,0,0,0,0,0,0,0,37.88,47.0,1,0,1,0,0,0,0,0,0,0,30,0.77,
13.700,2518,38.0,58.0,2.2,86.25,13.50,4.40,104.6,100.0,110.0,18.6,0,0,0,0,0,0,0,0,33.17,47.0,1,0,1,0,0,0,0,0,0,0,30,0.76,
13.750,2510,38.0,58.0,2.8,87.98,13.50,0.00,104.6,100.0,110.0,18.6,0,0,0,1,0,0,0,0,32.20,47.0,1,0,1,0,0,0,0,0,0,0,30,0.77,
